name,price
Beef Top Round Oven Roast,$2.99/Lb.
Beef Top Round Steak,$3.49/Lb.
Angus Beef Top Round Oven Roast,$3.99/Lb.
Beef Semi Boneless Ribeye Steak,$6.99/Lb.
Beef Boneless Ribeye Steak,$9.99/Lb.
Beef Top Round Steak for London Broil,$3.49/Lb.
Angus Beef Boneless Ribeye Steak,$11.99/Lb.
Angus Beef Tenderloin Steak,$19.99/Lb.
Angus Beef Top Round Steak,$4.49/Lb.
Beef 1st Cut Top Round Steak,$3.99/Lb.
Heritage Finely Sliced Ribeye Steaks,$5.99
Angus Beef Semi Boneless Ribeye Steak,$8.99/Lb.
Angus Beef Top Round London Broil Steak,$4.49/Lb.
Beef Thin Sliced Top Round Steak - Milanesa,$3.99/Lb.
Beef Boneless Ribeye Steak End Cut,$9.49/Lb.
Angus Beef Boneless Ribeye Steak End Cut,$10.49/Lb.
Beef Large End Rib Roast,$6.99/Lb.
Angus Beef Top Round Steak Steak 1st Cut,$4.99/Lb.
Beef Large End Rib Roast,$8.99/Lb.
USDA Choice Beef Family Pack Top Round Steak,$2.99/Lb.
Beef Boneless Ribeye Steak Thin Sliced,$10.49/Lb.
Beef Boneless Ribeye Thin Sliced,$12.49/Lb.
Beef 1st Cut Thin Sliced Top Round Steak,$3.99/Lb.
Beef Small End Rib Roast,$7.49/Lb.
Seasoned Beef Top Round Steak,$3.99/Lb.
USDA Choice Beef Top Round Steak 1st Cut Family Pack,$3.49/Lb.
Angus Beef Top Round Steak Steak 1st Cut Thin Sliced,$5.49/Lb.
Bone-In Pork Butt,$0.99/Lb.
Shank Portion Ham,$0.79/Lb.
Butt Portion Ham,$0.99/Lb.
Hannaford All Natural Assorted Pork Chops,$1.69/Lb.
Carando Half Spiral Ham,$2.99/Lb.
Hannaford Hickory Smoked Ham Steak,$2.99/Lb.
Sugardale Spiral Half Ham,$1.99/Lb.
Pork Picnic,$1.29/Lb.
Taste of Inspirations Half Spiral Ham,$2.99/Lb.
Hatfield Traditional Smoked Ham Steak,2/$4.00
Carando Spiral Sliced Honey Ham,$2.99/Lb.
Spiral Sliced Half Ham,$1.49/Lb.
St. Louis Style Pork Ribs,$2.99/Lb.
Hatfield All Natural Honey Garlic Teriyaki Pork Tenderloin,$5.99
Pork Baby Back Ribs,$3.49/Lb.
Hatfield Maple Ham Steaks,2/$4.00
90% Lean Ground Pork,2/$6.00
All Natural Pork Country Style Ribs,$1.69/Lb.
All Natural Pork Loin Chops,$1.99/Lb.
Bone-In Pork Loin Chops,$1.99/Lb.
Hatfield Smoked Honey Ham Steak,2/$4.00
Hannaford All Natural Whole Pork Tenderloin,$2.99/Lb.
Hatfield All Natural Tuscan Herb Pork Tenderloin,$5.99
Bone-In Center Cut Pork Chops,$1.99/Lb.
All Natural Pork Sirloin Portion Pork Roast,$1.69/Lb.
All Natural Pork Loin Center Cut Rib Chops,$1.99/Lb.
Hatfield Uncured Ham Steak,2/$4.00
Hannaford All Natural Half Pork Picnic,$1.29/Lb.
Hatfield Touch of Sea Salt Pork Loin Filet,$5.99
Sugardale Semi Boneless Half Ham,$2.99/Lb.
Taste of Inspirations Half Boneless Spiral Ham,$3.99/Lb.
Hatfield Garlic Mustard Loin Filet,$5.99
Hatfield Texas Smokehouse Pork Loin Filet,$5.99
Taste of Inspirations Wildflower Honey Quarter Sliced Ham,$4.99/Lb.
Taste of Inspirations Applewood Smoked Quarter Sliced Ham,$4.99/Lb.
Hatfield Montreal Loin Filet,$5.99
Taste of Inspirations Applewood Smoked Boneless Ham Steak,2/$4.00
Taste of Inspirations Wildflower Honey Ham Steak,2/$4.00
All Natural Pork Country Style Ribs,$1.69/Lb.
Hatfield Lemon Garlic Tenderloin,$5.99
Smithfield Hickory Smoked Ham Steak,2/$5.00
Sugardale Bone-In Spiral Sliced Whole Ham,$1.99/Lb.
Carando Boneless Sliced Half Ham,$3.99/Lb.
Smithfield Honey Ham Steak,2/$5.00
All Natural Pork Sirloin End Chops,$1.69/Lb.
Hannaford All Natural Blade Portion Oven Roast,$1.69/Lb.
Smithfield Maple Ham Steak,2/$5.00
Frick's Shank Portion Ham,$0.99/Lb.
Frick's Butt Portion Ham,$1.19/Lb.
Frick's Half Carver Ham,$4.99/Lb.
All Natural Center Cut Loin Pork Roast,$1.99/Lb.
All Natural Center Cut Pork Roast,$1.99/Lb.
Hannaford All Natural Pork Tenderloin Medallions,$2.99/Lb.
Hannaford All Natural Pork Rib End Sliced Chops,$1.69/Lb.
Larsen's Semi Boneless Half Ham,$2.99/Lb.
Frick's Boneless Half Ham,$4.99/Lb.
All Natural Pork Center Cut Loin Chop,$1.99/Lb.
Bone-In Pork Loin Chops Thin Sliced,$2.19/Lb.
St. Louis Rib Cuts,$2.99/Lb.
Frick's Boneless Petite Ham,$4.99/Lb.
Hannaford All Natural Sliced Pork Picnic,$1.29/Lb.
All Natural Pork Loin Cut Chop Thin Sliced,$2.19/Lb.
All Natural Pork Center Cut Chop Thin Sliced,$2.19/Lb.
Hannaford All Natural Pork Tenderloin Tips,$2.99/Lb.
